month,strategy,hedge_ratio,exposure,covered_amount,transaction_cost,exposure_pnl_proxy,hedge_pnl_proxy,hedged_position_pnl_proxy,net_pnl,residual_exposure,fx_return_month,abs_residual_exposure
2016-04,EWMA,0.6,419965.5285026576,251979.31710159456,50.39586342031891,786.9110272844191,-522.5424797909703,264.3685474934488,264.3685474934488,167986.21140106305,0.001873751472150742,167986.21140106305
2016-04,GARCH,0.6,419965.5285026576,251979.31710159456,50.39586342031891,786.9110272844191,-522.5424797909703,264.3685474934488,264.3685474934488,167986.21140106305,0.001873751472150742,167986.21140106305
2016-04,GRU,0.6,419965.5285026576,251979.31710159456,50.39586342031891,786.9110272844191,-522.5424797909703,264.3685474934488,264.3685474934488,167986.21140106305,0.001873751472150742,167986.21140106305
2016-04,LSTM,0.6,419965.5285026576,251979.31710159456,50.39586342031891,786.9110272844191,-522.5424797909703,264.3685474934488,264.3685474934488,167986.21140106305,0.001873751472150742,167986.21140106305
2016-04,STATIC,0.6,419965.5285026576,251979.31710159456,50.39586342031891,786.9110272844191,-522.5424797909703,264.3685474934488,264.3685474934488,167986.21140106305,0.001873751472150742,167986.21140106305
2016-05,EWMA,0.3,420093.20037084253,126027.96011125276,25.205592022250553,-7676.016700138089,2277.599418019176,-5398.417282118913,-5398.417282118913,294065.24025958974,-0.01827217553952787,294065.24025958974
2016-05,GARCH,0.3,420093.20037084253,126027.96011125276,25.205592022250553,-7676.016700138089,2277.599418019176,-5398.417282118913,-5398.417282118913,294065.24025958974,-0.01827217553952787,294065.24025958974
2016-05,GRU,0.6,420093.20037084253,252055.92022250552,50.411184044501105,-7676.016700138089,4555.198836038352,-3120.8178640997367,-3120.8178640997367,168037.280148337,-0.01827217553952787,168037.280148337
2016-05,LSTM,0.6,420093.20037084253,252055.92022250552,50.411184044501105,-7676.016700138089,4555.198836038352,-3120.8178640997367,-3120.8178640997367,168037.280148337,-0.01827217553952787,168037.280148337
2016-05,STATIC,0.6,420093.20037084253,252055.92022250552,50.411184044501105,-7676.016700138089,4555.198836038352,-3120.8178640997367,-3120.8178640997367,168037.280148337,-0.01827217553952787,168037.280148337
2016-06,EWMA,0.3,462009.3117595583,138602.79352786747,27.720558705573495,-843.2008729205663,225.23970317059639,-617.9611697499699,-617.9611697499699,323406.5182316908,-0.001825073329602911,323406.5182316908
2016-06,GARCH,0.3,462009.3117595583,138602.79352786747,27.720558705573495,-843.2008729205663,225.23970317059639,-617.9611697499699,-617.9611697499699,323406.5182316908,-0.001825073329602911,323406.5182316908
2016-06,GRU,0.6,462009.3117595583,277205.58705573494,55.44111741114699,-843.2008729205663,450.47940634119277,-392.72146657937355,-392.72146657937355,184803.72470382333,-0.001825073329602911,184803.72470382333
2016-06,LSTM,0.6,462009.3117595583,277205.58705573494,55.44111741114699,-843.2008729205663,450.47940634119277,-392.72146657937355,-392.72146657937355,184803.72470382333,-0.001825073329602911,184803.72470382333
