date,model,y_true_vol_1m,y_pred_vol_1m,y_pred_var_95_1m,split_id
2016-03-25,GRU,0.017720580373974646,0.034045301377773285,0.056004520766437055,1
2016-03-28,GRU,0.01790598077351809,0.03279294818639755,0.05394439976662398,1
2016-03-29,GRU,0.01771379046116333,0.031341832131147385,0.05155731385573745,1
2016-03-30,GRU,0.016064350986936277,0.029168402776122093,0.04798202256672084,1
2016-03-31,GRU,0.01579305226655759,0.027109839022159576,0.0445956851914525,1
2016-04-01,GRU,0.017972589697822373,0.02558002434670925,0.04207914005033672,1
2016-04-04,GRU,0.01866500188067233,0.0261762086302042,0.04305986319668591,1
2016-04-05,GRU,0.018807850979110315,0.026256049051880836,0.043191200690343975,1
2016-04-06,GRU,0.018831623356153043,0.024191394448280334,0.03979484386742115,1
2016-04-07,GRU,0.020390224571156784,0.023229453712701797,0.038212451357394456,1
2016-04-08,GRU,0.020261811189891513,0.02439422532916069,0.040128500666469336,1
2016-04-11,GRU,0.02009218707829129,0.02408635802567005,0.039622058952227236,1
2016-04-12,GRU,0.020097796647913942,0.02568664401769638,0.04225452940911055,1
2016-04-13,GRU,0.02049132991517386,0.027549482882022858,0.0453188993409276,1
2016-04-14,GRU,0.018582293842557503,0.030565746128559113,0.05028065238147974,1
2016-04-15,GRU,0.019412805871768617,0.03326454758644104,0.05472018077969551,1
2016-04-18,GRU,0.019241635737367466,0.0343424528837204,0.05649333499372006,1
2016-04-19,GRU,0.0192261880599911,0.03348406031727791,0.05508127922192216,1
2016-04-20,GRU,0.02032357654981716,0.03082701563835144,0.05071044072508812,1
2016-04-21,GRU,0.01986330156196262,0.029714927077293396,0.04888105504214764,1
2016-04-22,GRU,0.01992841230413802,0.028861839324235916,0.04747772568836808,1
2016-04-25,GRU,0.01927210448982796,0.029520049691200256,0.048560481742024424,1
2016-04-26,GRU,0.020144856882018728,0.030157309025526047,0.04960877334699035,1
2016-04-27,GRU,0.02002884061491766,0.02800273336470127,0.04606449638493359,1
2016-04-28,GRU,0.020084583498639327,0.026904504746198654,0.04425791030749679,1
2016-04-29,GRU,0.02092353706171553,0.02522965893149376,0.04150278894230723,1
2016-05-02,GRU,0.01851884930154828,0.02454197220504284,0.040371544277295474,1
2016-05-03,GRU,0.017132412391821623,0.024295205250382423,0.03996561263687909,1
2016-05-04,GRU,0.018281141754973057,0.025876019150018692,0.04256605150178075,1
2016-05-05,GRU,0.01838370957486149,0.025489933788776398,0.04193094108253718,1
2016-05-06,GRU,0.02549371814438231,0.025100594386458397,0.041290477765724067,1
2016-05-09,GRU,0.025487726763238055,0.02491304837167263,0.04098196457140148,1
2016-05-10,GRU,0.025491308684199528,0.025928858667612076,0.042652972508221865,1
2016-05-11,GRU,0.02584358043257602,0.026525437831878662,0.0436343452334404,1
2016-05-12,GRU,0.026645185146563135,0.025410380214452744,0.04180007545277476,1
2016-05-13,GRU,0.027087494551361925,0.026648636907339096,0.04383700771257281,1
2016-05-16,GRU,0.027073638204204584,0.02868933230638504,0.04719395164400339,1
2016-05-17,GRU,0.027919524729101714,0.028591807931661606,0.04703352404758334,1
2016-05-18,GRU,0.028338044329159717,0.028786906972527504,0.04735446196980774,1
2016-05-19,GRU,0.027076224579327804,0.030818747356534004,0.05069683940149844,1
2016-05-20,GRU,0.028292191623343184,0.032799795269966125,0.05395566321909428,1
2016-05-23,GRU,0.02842459189820102,0.03335798531770706,0.05487388584762812,1
2016-05-24,GRU,0.029230213399514957,0.03236818686127663,0.053245667386800054,1
2016-05-25,GRU,0.028964243279985775,0.03288993984460831,0.05410395104438066,1
2016-05-26,GRU,0.028964053323273512,0.03230129927396774,0.053135637305676935,1
2016-05-27,GRU,0.03908647818018538,0.03172432258725166,0.05218651065602899,1
2016-05-30,GRU,0.03848168764561589,0.032466478645801544,0.05340735737234354,1
2016-05-31,GRU,0.03872547457926938,0.03319194167852402,0.05460074406117201,1
2016-06-01,GRU,0.03905783243320771,0.03379073739051819,0.05558576300740242,1
2016-06-02,GRU,0.038770295872830964,0.03293644264340401,0.05418044814839959,1
