split_id,model,feature,importance_rmse_increase,importance_rmse_std,baseline_rmse,n_repeats
1,LSTM,ret_eurusd,-5.434556995700078e-05,2.9169474002623754e-05,0.00903246335853341,5
1,LSTM,vol_21,4.302720657170141e-05,9.122388810679926e-05,0.00903246335853341,5
1,LSTM,ma_ratio_21,0.000352909346423386,0.00019010516859253892,0.00903246335853341,5
1,LSTM,momentum_21,-0.00016013719063218726,3.8088147807127654e-05,0.00903246335853341,5
1,LSTM,ret_vix,2.199540904131471e-05,3.4260995949998404e-05,0.00903246335853341,5
1,LSTM,ret_dxy,5.9682031091077076e-05,1.3266268696716718e-05,0.00903246335853341,5
1,LSTM,ret_wti,-5.9036752097605184e-05,0.0001110144974972059,0.00903246335853341,5
1,LSTM,US10Y,-0.00039292099964608195,4.991409528017935e-05,0.00903246335853341,5
1,LSTM,EU10Y,-0.0003863745073405561,2.6169441146870664e-05,0.00903246335853341,5
1,LSTM,spread_10y,6.446882857806397e-05,1.1938638739581356e-05,0.00903246335853341,5
2,LSTM,ret_eurusd,0.00042472842628448826,5.2151543880998746e-05,0.0037234424613945727,5
2,LSTM,vol_21,-9.148950826733358e-05,3.631023369152642e-05,0.0037234424613945727,5
2,LSTM,ma_ratio_21,0.001369343591968075,0.0001296615875497564,0.0037234424613945727,5
2,LSTM,momentum_21,0.0011442346162850805,9.390065519481224e-05,0.0037234424613945727,5
2,LSTM,ret_vix,8.144978827562873e-05,2.019536615319652e-05,0.0037234424613945727,5
2,LSTM,ret_dxy,6.0345381643310635e-05,2.3619522931261507e-05,0.0037234424613945727,5
2,LSTM,ret_wti,-6.790257176589139e-05,6.467484288786199e-06,0.0037234424613945727,5
2,LSTM,US10Y,0.00029720814334004256,5.788106421310836e-05,0.0037234424613945727,5
2,LSTM,EU10Y,1.8012165054872958e-06,2.1094204280509156e-06,0.0037234424613945727,5
2,LSTM,spread_10y,6.624800326693525e-05,1.6692236058337864e-05,0.0037234424613945727,5
3,LSTM,ret_eurusd,0.00012455792955245597,6.421555386723308e-05,0.00596929975020564,5
3,LSTM,vol_21,-0.0001275346409441127,8.590636840117319e-05,0.00596929975020564,5
3,LSTM,ma_ratio_21,0.0007991920303214593,0.00012091625864932447,0.00596929975020564,5
3,LSTM,momentum_21,6.783198468388492e-05,3.9560536464742116e-05,0.00596929975020564,5
3,LSTM,ret_vix,-0.00010205176493817518,5.486453713809544e-05,0.00596929975020564,5
3,LSTM,ret_dxy,9.529460650548605e-05,7.209381561796278e-05,0.00596929975020564,5
3,LSTM,ret_wti,0.00010085074848821071,1.84151776260266e-05,0.00596929975020564,5
3,LSTM,US10Y,4.7701815216082136e-05,7.178081070522366e-06,0.00596929975020564,5
