Modelo,MAE_promedio,RMSE_promedio,MAE_minimo,MAE_maximo,RMSE_minimo,RMSE_maximo,Numero_splits
GRU,0.008761,0.010128,0.002963,0.02486,0.003875,0.025568,10
LSTM,0.006446,0.007436,0.003077,0.016752,0.003723,0.01719,10
